,,,,,
"","Name of Undertaklng

","Country of
Incorporation

","Share class

","% held by Parent
Company of the
Group

","% held by Group
ccmpames, if
different

"
"","'Betelaeuse (Slcav)

","France

","€32 18 Ordinary shares

","O 000

","99 922 !

"
"","Bluecvcle com Limited

","United Kingdom

","£1 00 Ordinary shares

","0 000

","100 000 I

"
"","BOCM Kft""

","Hungary

","","",""
"","Buda Best Ofﬁces Kft

","Hungary

","HUF‘I 00 Registered Quota shares

","0 000

","100 000 (

"
"","Buuqu a Future (Newham Schools) Lxmued

","Unxted Kingdom

","£1 00 Ordznary shares

","O 000

","100 000 l

"
"","Cardxﬁ Bav (CPS) Limited

","United Kquom

","£1 00 Ordman‘ shares

","0 000

","100 000 I

"
"","m5"" "" '

","Umted ngdom

","£1 00 Ordinary shares

","D 000

","100 000 l

"
"","Cardnff Bav Nommee 1 Limited

","United ngdom

","£1 00 Ordmary shares

","0 000

","100 000 1

"
"","’Cardnﬁ Bay Nominee 2 Limited

","Umted Kingdom

","£1 00 Ordmary shares

","O 000

","100 000 I

"
"","Caruo Mord Obgekt 10 ‘ 12 GmbH & Co 08

","Austna

","€1 00 Ordmary shares

","O 000

","99 900 I

"
"","Game Nerd Obxekt 3 GmbH & Co 06

","Austna

","E1 00 Ordinary shares

","O 000

","99 900 I

"
"","CEIF Industna! Eosxlon SRL

","Romama

","ROUO 00 Ron 10 shares

","0 000

","226 653 i

"
"","m"" V"" ""

","Romama

","ROUO 00 Ron 10 shares

","O 000

","100 000 1

"
"","WV 7'

","Luxemboura

","€25 00 Ordinarv shares

","O 000

","' ' ' ' 100 660W]

"
"","","luxembdum

","€100 00 Ordmarv shares

","0 000

","' ' ' ' wwiébiéiom

"
"","Centaurus CERVAVI’va Investors) Sari

","Luxemboura

","€100 00 Ordinary shares

","0 000

","100 000 i

"
"","maﬁa—mm ' ' ' ' ' '

","Uﬁﬁd Klriqdom

","£100 00 Ordmarv shares

","0 000

","' ' ' ' ' WW'TOO’be—l

"
"","CGP Entreoreneurs

","France

","€20 00 Ordmarv shares

","O 000

","' ' ' ' ' """"""W'iﬁbibbvﬂ

"
"","CGUTBrBup B'v ' ' '

","Netherlands

","E1 00 Ordmarv shares

","O 000

","' ' ' ' ' WWWBGOHN

"
"","CGU Internavtxanal Holdlnqs BV

","Netheriands

","€0 4538 0rd Eur 0 45 Each shares

","0 000

",""" 566666 T

"
"","CGU Protect Servxces Private lelted 7 7

","lnéﬁé

","INR10 00 Rs 10 shares

","O 000

","W """"""""""""1'O""O’6667

"
"","Colby Investments Sp 2 o o

","Poiand

","PLZSOO 00 Ordinary Of 500 Zlo
shares

","O 000

","' """"7607656]

"
"","CommercTaﬁTnfon Cébltal Limited 7 7 7 7 7 7 7

","Uﬁﬁéd Klnadom

","£1 00 Ordmarv shares

","0 000

",""" """"""M1woéwoﬁo—l

"
"","Commercual Union Corporate Member lened

","United Kingdom

","£1 00 Ordinary shares

","O 000

","' ' ' """"160 0707671

"
"","Commercnal UnIon do Bras“ Renresentacoes Limitada

","Brazil

","BRL1 00 R$1 0rd shares

","0 000

","100 000 l

"
"","CommerCIal Union Life Assurance Comnanv Limited

","United Kquom

","£1 00 Ordinarv shares

","0 000

","100000

"
"","Commercual Unlon Nominee Holdlnqs Limited

","United Kquom

","£1 00 Ordxnarv shares

","O 000

","' ' ' ' W1'66’6W1

"
"","Commercnal Umon Trustees Limited

","United Kingdom

","£1 00 Ordinarv shares

","0 000

","' ' "" ' T666661

"
"","Cornerford Limited

","United Kingdom

","£1 00 A Ordinarv shares

","0 000

","' ' ' ' ' ""mfdﬁ'ﬁom

"
"","","","£1 00 B Ordinary shares

","1‘ 0000

","100 000

"
"","","","£1 00 Preference shares

","0 000

","100 000 l

"
"","Crane Investment Holdings PTE Ltd

","Singapore

","JPY1,000 00 A Ordinary shares

","0 000

","100 000 I

"
"","","","","",""
